Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Sébastien Haller\ba115a40,ci CIV,FW,nl Ajax,577,11,1,1.72,0.16,9.0,1.2,1.41,0.18
Robert Lewandowski\8d78e732,pl POL,FW,de Bayern Munich,604,9,2,1.34,0.30,6.0,1.1,0.89,0.16
Mohamed Salah\e342ad68,eg EGY,FW,eng Liverpool,550,8,0,1.31,0.00,4.3,0.5,0.71,0.09
Christopher Nkunku\7c56da38,fr FRA,FWMF,de RB Leipzig,530,7,1,1.19,0.17,2.7,1.0,0.46,0.16
Riyad Mahrez\892d5bb1,dz ALG,FW,eng Manchester City,607,6,1,0.89,0.15,4.4,1.5,0.65,0.22
Cristiano Ronaldo\dea698d9,pt POR,FW,eng Manchester Utd,520,6,0,1.04,0.00,3.3,0.9,0.57,0.16
Karim Benzema\70d74ece,fr FRA,FW,es Real Madrid,524,5,0,0.86,0.00,4.0,1.7,0.68,0.30
Kylian Mbappé\42fd9c7f,fr FRA,FW,fr Paris S-G,581,5,4,0.77,0.62,4.4,2.2,0.68,0.34
Lionel Messi\d70ce98e,ar ARG,FW,fr Paris S-G,540,5,0,0.83,0.00,4.5,2.0,0.76,0.34
Leroy Sané\2b114be3,de GER,FWMF,de Bayern Munich,586,5,4,0.77,0.61,3.3,1.7,0.50,0.25
Pedro Gonçalves\c275947b,pt POR,FWMF,pt Sporting CP,327,4,2,1.10,0.55,2.4,1.1,0.65,0.29
Antoine Griezmann\df69b544,fr FRA,FWMF,es Atlético Madrid,301,4,2,1.20,0.60,2.2,0.5,0.66,0.16
Arnaut Groeneveld\f08490a6,nl NED,FW,es Villarreal,565,4,2,0.64,0.32,2.9,0.7,0.47,0.12
Karim Adeyemi\501055d8,de GER,FW,at RB Salzburg,541,3,1,0.50,0.17,3.9,0.7,0.65,0.11
Steven Berghuis\713c144a,nl NED,MF,nl Ajax,542,3,1,0.50,0.17,1.4,1.8,0.24,0.29
